Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,327,921,518,1.192,36.125,8224125
1,328,921,518,0.000,0.000,8224125
1,329,924,544,0.864,26.173,9013641
1,330,940,510,1.240,37.577,8553090
1,331,920,524,0.806,24.413,8026746
1,332,933,505,0.760,23.022,8553090
1,333,933,505,0.000,0.000,8553090
1,334,913,521,0.845,25.612,8618883
1,335,937,490,1.294,39.205,8947848
1,336,922,517,1.019,30.887,8553090
1,337,944,481,1.392,42.190,8947848
1,338,944,481,0.000,0.000,8947848
1,339,909,516,1.633,49.497,8618883
1,340,936,486,1.332,40.361,9145227
1,341,905,516,1.424,43.139,8553090
1,342,944,481,1.729,52.402,9276813
1,343,944,481,0.000,0.000,9276813
1,344,908,510,1.526,46.228,8487297
1,345,946,481,1.577,47.802,8882055
1,346,912,518,1.658,50.249,8487297
1,347,942,480,1.598,48.415,9145227
1,348,942,484,0.132,4.000,9145227
1,349,916,509,1.190,36.069,8553090
1,350,946,477,1.447,43.863,9079434
1,351,932,486,0.549,16.643,8750469
1,352,932,486,0.000,0.000,8750469
1,353,885,545,2.489,75.432,8553090
1,354,921,508,1.704,51.624,8750469
1,355,896,530,1.099,33.302,8421504
1,356,930,497,1.564,47.381,8684676
1,357,930,497,0.000,0.000,8684676
1,358,917,522,0.930,28.178,8553090
1,359,932,500,0.879,26.627,8816262
1,360,937,529,0.971,29.428,9013641
1,361,917,536,0.699,21.190,9013641
1,362,906,540,0.386,11.705,8947848
1,363,922,522,0.795,24.083,8618883
1,364,949,485,1.512,45.804,9079434
1,365,928,517,1.263,38.275,8487297
1,366,954,476,1.602,48.549,9539985
1,367,954,476,0.000,0.000,9539985
1,368,922,506,1.447,43.863,8553090
1,369,949,480,1.237,37.483,9474192
1,370,926,514,1.355,41.049,8553090
1,371,950,484,1.268,38.419,9276813
1,372,950,484,0.000,0.000,9276813
1,373,916,528,1.835,55.606,9079434
1,374,956,473,2.244,68.007,9539985
1,375,921,512,1.729,52.402,8816262
1,376,890,529,1.167,35.355,8158332
1,377,904,532,0.472,14.318,8487297
1,378,914,510,0.797,24.166,8553090
1,379,918,550,1.327,40.200,8487297
1,380,926,525,0.866,26.249,8618883
1,381,930,522,0.165,5.000,8553090
1,382,905,553,1.314,39.825,8816262
1,383,926,524,1.182,35.805,8816262
1,384,949,497,1.170,35.468,9013641
1,385,924,525,1.239,37.537,8684676
